"degreeType","Major","Chemistry","Physics","Mathematics","Analytical Chemistry","Physical Chemistry","Inorganic Chemistry","Organic Chemistry","Additional Upper Division Units","Recommended"
"B.A.","Chemistry","CHE 002A, CHE 002B, CHE 002C, CHE 004A, CHE 004B, CHE 004C","PHY 007A, PHY 007B, PHY 007C, PHY 009A, PHY 009B, PHY 009C","MAT 017A, MAT 017B, MAT 017C, MAT 019A, MAT 019B, MAT 019C, MAT 021A, MAT 021B, MAT 021C","CHE 105","CHE 107A, CHE 107B, CHE 110A, CHE 110B, CHE 110C","CHE 124A","CHE 118A, CHE 118B, CHE 118C, CHE 128A, CHE 128B, CHE 128C, CHE 129A, CHE 129B","Additionally, complete enough additional upper division units in Chemistry (CHE) or related areas to reach at least 43 total units of upper division major coursework. Depending on which physical and organic series are chosen, this will be between 11 and 18 additional upper division units. When credit is earned for one physical and organic series, units from the other series cannot count towards the major. These additional upper division units must include at least one course with formal lectures; courses in related areas must be approved in advance by the major advisor.",NA
"B.S.","Chemistry","CHE 004A, CHE 004B, CHE 004C, CHE 105, CHE 108, CHE 110A, CHE 110B, CHE 110C, CHE 115, CHE 124A, CHE 124B, CHE 124C, CHE 124L, CHE 125, CHE 128A, CHE 128B, CHE 128C, CHE 129A, CHE 129B, CHE 129C, CHE 194HA, CHE 194HB, CHE 194HC, CHE 199","PHY 009A, PHY 009B, PHY 009C, PHY 009D","MAT 021A, MAT 021B, MAT 021C, MAT 021D, MAT 022A, 022AL, MAT/BIS 027A, MAT 022B, MAT/BIS 027B",NA,NA,NA,NA,"At least 4 additional upper division units in Chemistry (CHE)","CHE 194HA, CHE 194HB, CHE 194HC, CHE 199"
