Course Code,Title,Units,Description,Prerequisites
ECN 131V,— Public Finance,(4 units),"Learning Activities:Web VIrtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B).
ECN 131Y,— Public Finance,(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B)
ECN 132,— Health Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 102orECN 140orARE 106orSTA 108);ECN 100B; or consent of instructor.
ECN 133Y,"— Poverty, Inequality & Public Policy",(4 units),"Learning Activities:Web Virtual Lecture 2 hour(s), Discussion 2 hour(s).Enrollment Restriction(s):Limited to 99; 3 sections of 33 each.Grade Mode:Letter.",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 134,— Financial Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors.Credit Limitation(s):No credit for students who have completedARE 171.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVor ECN 100AY orARE 100A); (STA 013orSTA 013Y); (ECN 100BorARE 100B).
ECN 134Y,— Financial Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors.Credit Limitation(s):No credit for students who have completedARE 171.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVor ECN 100AY orARE 100A); (STA 013orSTA 013Y); (ECN 100BorARE 100B).
ECN 135,"— Money, Banks, & Financial Institutions",(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 101or ECN 101Y or ECN 101V); (STA 013orSTA 013YorSTA 032).
ECN 135Y,"— Money, Banks, & Financial Institutions",(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 101or ECN 101Y or ECN 101V); (STA 013orSTA 013YorSTA 032).
ECN 136,— Topics in Macroeconomic Theory,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 101.
ECN 137,— Macroeconomic Policy,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B);ECN 101; (STA 013orSTA 013Y).
ECN 138,— Public Economics in International Perspective,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Credit Limitation(s):Not open for credit to students who have previously completed an upper division economics course in international public economics.Grade Mode:Letter.General Education:Social Sciences (SS); Quantitative Literacy (QL).",(ECN 100AorECN 100AVor ECN 100 orARE 100A);ECN 102.
ECN 140,— Econometrics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics Majors.Grade Mode:Letter.ECN 140— Econometrics (4 units)Course Description:Problems of observation, estimation and hypotheses testing in economics through the study of the theory and application of linear regression models. Critical evaluation of selected examples of empirical research and exercises in applied economics.Prerequisite(s):(ECN 100AorECN 100AVor ECN 100AY orARE 100A); (ECN 102orSTA 108); or consent of instructor.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics Majors.Credit Limitation(s):Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Winter Quarter 2026.",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 102orSTA 108); or consent of instructor.
ECN 141,— Economic & Financial Forecasting,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Grade Mode:Letter.",(ECN 100 orECN 100AorECN 100AV);ECN 101; (ECN 102orSTA 108); or consent of instructor.
ECN 142,— Economics & Business Data Analytics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open Economics majors only.Credit Limitation(s):Not open for credit to students who have previously completed an upper division economics course in economics and business data analytics.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100 orECN 100AVorECN 100A); (ECN 102B or better orECN 140B or better).
ECN 145,— Transportation Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 102orSTA 108); or consent of instructor.
ECN 151A,— Economics of the Labor Market,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 100 orECN 100AorECN 100AVorARE 100A.
ECN 151B,— Economics of Human Resources,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 100 orECN 100AorECN 100AVorARE 100A.
ECN 152,— Economics of Education,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",(ECN 100 C- or better orECN 100AorECN 100AVorARE 100AC- or better); (ECN 100BorARE 100BC- or better);ECN 102C- or better; (STA 013C- or better orSTA 013YC- or better orSTA 032C- or better); or consent of instructor.
ECN 160A,— International Microeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units of credit allowed to students who have completedECN 162.Grade Mode:Letter.",ECN 100 orECN 100AorECN 100AVorARE 100A.
ECN 160B,— International Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units of credit allowed to students who have completedECN 162.Grade Mode:Letter.",ECN 101.
ECN 162,— International Economic Relations,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completedECN 160AorECN 160B.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV); or consent of instructor.
ECN 164,— International Finance,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Credit Limitation(s):Not open for credit to students who have previously completed an advanced upper division economics course in economic international finance.Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVor ECN 100 orARE 100A);ECN 101.
