Course Code,Title,Units,Description,Prerequisites
ECN 203C,— Topics in Economic Theory,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Repeat Credit:May be repeated with the consent of the Graduate Studies Committee.Grade Mode:Letter.",ECN 200A;ECN 200B;ECN 200C.
ECN 210A,— Economic History,(4 units),Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.,
ECN 210B,— Economic History,(4 units),Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.,
ECN 210C,— Economic History,(4 units),Learning Activities:Seminar 4 hour(s).Grade Mode:Letter.,A graduate course in economic history.
ECN 214,— Development Economics,(4 units),Learning Activities:Lecture 4 hour(s).Cross Listing:ARE 214.Grade Mode:Letter.,ARE 100A;ARE 100B;ECN 101; ARE 204/ECN 204 andECN 160A-ECN 160Brecommended.
ECN 215A,— Microdevelopment Theory & Methods I,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 215A.Grade Mode:Letter.",ECN 200Aor ECN 204;ECN 240Arecommended.
ECN 215B,— Open Macroeconomics of Development,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 215B.Grade Mode:Letter.",(ARE 200AorECN 200A); (ARE 204 or ECN 204); (ECN 214orECN 215A);ECN 200Dor ECN 205.
ECN 215C,— Microdevelopment Theory & Methods II,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 215C.Grade Mode:Letter.",ECN 215A.
ECN 215D,— Environmental & Economic Development,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 215D.Grade Mode:Letter.",ECN 200A; (ECN 204 orARE 275).
ECN 216,— Energy & Climate Policy,(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing/Discussion.Enrollment Restriction(s):Pass One restricted to graduate students in the following programs: Economics, Energy Graduate Group, and Transportation Technology and Policy Graduate Group.Cross Listing:EGG 202.Grade Mode:Letter.",ECN 100AorARE 100A; or consent of instructor.
ECN 221A,— The Theory of Industrial Organization,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200A;ECN 200B;ECN 200C.
ECN 221B,— Empirical Analysis in Industrial Organization,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 221A;ECN 240B.
ECN 221C,— Industrial Organization & Regulation,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 221A;ECN 240B.
ECN 230A,— Public Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200C.
ECN 230B,— Public Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 240A;ECN 240B.
ECN 230C,— Public Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200C;ECN 240B.
ECN 233,— Poverty & Public Policy,(4 units),Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.,
ECN 235A,— Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D; or consent of instructor.
ECN 235B,— Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D; or consent of instructor.
