Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
STA 231A,Mathematical Statistics I,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",STA 131A;STA 131B;STA 131C; MAT 025; MAT 125A; or equivalent of MAT 025nd MAT 125A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 231B,Mathematical Statistics II,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",STA 231A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 231C,Mathematical Statistics III,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",STA 231A;STA 231B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 232A,Applied Statistics I,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.",STA 106;STA 108;STA 131A;STA 131B;STA 131C;MAT 167,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,
STA 232B,Applied Statistics II,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.",STA 106;STA 108;STA 131A;STA 131B;STA 131C;STA 232A;MAT 167,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,
STA 232C,Applied Statistics III,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.",STA 106;STA 108;STA 131C;STA 232B;MAT 167,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,
STA 233,Design Experiments,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,STA 131C,Lecture 3 hour(s),Letter,
STA 235A,Probability Theory,4,"Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Cross Listing:MAT 235A.Grade Mode:Letter.","( MAT 125B,MAT 135A ) OR STA 131A; or consent of instructor","Lecture 3 hour(s), Term Paper/Discussion 1 hour(s)",Letter,
STA 235B,Probability Theory,4,"Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Cross Listing:MAt 235B.Grade Mode:Letter.",STA 235AorMAT 235A; or consent of instructor,"Lecture 3 hour(s), Term Paper/Discussion 1 hour(s)",Letter,
STA 235C,Probability Theory,4,"Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Cross Listing:MAT 235C.Grade Mode:Letter.",STA 235BorMAT 235B; or consent of instructor,"Lecture 3 hour(s), Term Paper/Discussion 1 hour(s)",Letter,
STA 237A,Time Series Analysis,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.",STA 131B; or the equivalent ofSTA 131B,"Lecture 3 hour(s), Term Paper",Letter,
STA 237B,Time Series Analysis,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.",STA 131B;STA 237A; or the equivalent ofSTA 131B,"Lecture 3 hour(s), Term Paper",Letter,
STA 238,Theory of Multivariate Analysis,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.",STA 131B;STA 135,"Lecture 3 hour(s), Term Paper",Letter,
STA 240A,Nonparametric Inference,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.","STA 231C;STA 235A,STA 235B,STA 235Crecommended","Lecture 3 hour(s), Term Paper",Letter,
STA 240B,Nonparametric Inference,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.","STA 231C;STA 235A,STA 235B,STA 235Crecommended","Lecture 3 hour(s), Term Paper",Letter,
STA 241,Asymptotic Theory of Statistics,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.","STA 231C;STA 235A,STA 235B,STA 235Cdesirable","Lecture 3 hour(s), Term Paper",Letter,
STA 242,Introduction to Statistical Programming,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.",STA 130A;STA 130B; or equivalent ofSTA 130AandSTA 130B,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,
STA 243,Computational Statistics,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.","( STA 130A,STA 130B ) ; ( MAT 067orMAT 167 ) ; or equivalent ofSTA 130Aand130B, or equivalent ofMAT 167orMAT 067","Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,
STA 250,Topics in Applied & Computational Statistics,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Repeat Credit:May be repeated with consent of graduate advisor.Grade Mode:Letter.STA 250— Topics in Applied & Computational Statistics (4 units)Course Description:Resampling, nonparametric and semiparametric methods, incomplete data analysis, diagnostics, multivariate and time series analysis, applied Bayesian methods, sequential analysis and quality control, categorical data analysis, spatial and image analysis, computational biology, functional data analysis, models for correlated data, learning theory.Prerequisite(s):STA 131A;STA 232Arecommended, not required.Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.This course version is effective from, and including:  Winter Quarter 2026.","STA 131A;STA 232Arecommended, not required","Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,
STA 251,Topics in Statistical Methods & Models,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Repeat Credit:May be repeated when topic differs and only with consent of graduate advisor.Grade Mode:Letter.",STA 231B; or the equivalent ofSTA 231B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 252,Advanced Topics in Biostatistics,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Repeat Credit:May be repeated when topic differs and only with consent of graduate advisor.Cross Listing:BST 252.Grade Mode:Letter.",( STA 222orBST 222 ) ; ( STA 223orBST 223 ) ,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,
STA 260,Statistical Practice & Data Analysis,3,"Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Open to students enrolled in the graduate program in Statistics or Biostatistics, as the class also serves to provide professional service to clients and collaborators who work with the students.Repeat Credit:May be repeated 1 time(s).Grade Mode:Letter.",STA 207orSTA 232B; working knowledge of advanced statistical software and the equivalent ofSTA 207orSTA 232B,Lecture/Discussion 3 hour(s),Letter,
STA 280,Orientation to Statistical Research,2,Learning Activities:Seminar 2 hour(s).Repeat Credit:May be repeated 1 time(s).Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor,Seminar 2 hour(s),Satisfactory/Unsatisfactory only,
STA 290,Seminar in Statistics,1,Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor,Variable,Satisfactory/Unsatisfactory only,
STA 292,Graduate Group in Statistics Seminar,1,Learning Activities:Seminar 1-2 hour(s).Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor; graduate standing,Seminar 1-2 hour(s),Satisfactory/Unsatisfactory only,
STA 298,Directed Group Study,1,Learning Activities:Variable 3-15 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Consent of instructor. Graduate standing,Variable 3-15 hour(s),Letter,
STA 299,Individual Study,1,Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor,Variable,Satisfactory/Unsatisfactory only,
STA 299D,Dissertation Research,1,Learning Activities:Variable 3-36 hour(s).Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor; advancement to candidacy for Ph.D,Variable 3-36 hour(s),Satisfactory/Unsatisfactory only,
STA 390,Methods of Teaching Statistics,2,"Learning Activities:Lecture/Discussion 1 hour(s), Laboratory 1 hour(s).Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.",Graduate standing,"Lecture/Discussion 1 hour(s), Laboratory 1 hour(s)",Satisfactory/Unsatisfactory only,
STA 396,Teaching Assistant Training Practicum,1,Learning Activities:Variable.Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.,Consent of instructor; graduate standing,Variable,Pass/No Pass only,
STA 401,Methods in Statistical Consulting,3,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Students must be enrolled in the graduate program in Statistics or Biostatistics.Repeat Credit:May be repeated with consent of graduate advisor.Grade Mode:Satisfactory/Unsatisfactory only.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Satisfactory/Unsatisfactory only,
