Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MGT 400A,Financial Accounting,4,"Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to students enrolled in the MBA program only.Credit Limitation(s):Not available for credit for students who have takenMGT 200A,MGP 200A,MGB 200A,MGV 200AVorMGV 400AV.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 400AY,Financial Accounting,4,"Learning Activities:Lecture 3 hour(s), Web Virtual Lecture 1 hour(s).Enrollment Restriction(s):Open to students enrolled in the MBA program only.Credit Limitation(s):Not available for credit for students who have takenMGT 200A,MGP 200A,MGB 200A,MGV 200AV,MGV 400AV.Grade Mode:Letter.",,"Lecture 3 hour(s), Web Virtual Lecture 1 hour(s)",Letter,
MGT 401A,The Individual & Group Dynamics,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 201A,MGP 201A,MGB 201AorMGV 201AV.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 401B,Organizational Strategy & Structure,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 201B,MGP 201B,MGB 201BorMGV 201BV.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 402A,Markets & the Firm,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 202A,MGP 202A,MGB 202AorMGV 202AV.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 402AV,Markets & The Firm,4,"Learning Activities:Web Virtual Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGB 202A,MGP 202A,MGT 202A,MGV 202AV,MGB 402A,MGP 402A,MGT 402A,MGB 402AV,MGP 402AV,MGT 402AV.Grade Mode:Letter.",,Web Virtual Lecture 4 hour(s),Letter,
MGT 403A,Data Analysis for Managers,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit for students who have takenMGT 203A,MGP 203A,MGB 203AorMGV 403AV.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 404,Marketing Management,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 204,MGP 204,MGB 204orMGV 204V.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 405,Financial Theory & Policy,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit for students who have takenMGT 205,MGP 205,MGB 205orMGV 205V.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 406A,Decision Analytics: Spreadsheet Based,2,"Learning Activities:Lecture 2 hour(s).Credit Limitation(s):Not available for credit for students who have takenMGT 206,MGP 206,MGB 206orMGV 206V.Grade Mode:Letter.",,Lecture 2 hour(s),Letter,
MGT 406B,Decision Analytics: Scalable,2,"Learning Activities:Lecture 2 hour(s).Credit Limitation(s):Not available for credit for students who have takenMGT 206,MGP 206,MGB 206orMGV 206V.Grade Mode:Letter.",MGT 406AorMGP 406AorMGB 406A,Lecture 2 hour(s),Letter,
MGT 407,Storytelling for Leadership,1,Learning Activities:Lecture/Discussion 1 hour(s).Grade Mode:Letter.,,Lecture/Discussion 1 hour(s),Letter,
MGT 408,The Business of the Media,1,Learning Activities:Lecture/Discussion 1 hour(s).Grade Mode:Letter.,,Lecture/Discussion 1 hour(s),Letter,
MGT 408V,The Business of the Media,1,Learning Activities:Web Virtual Lecture 1 hour(s).Grade Mode:Letter.,,Web Virtual Lecture 1 hour(s),Letter,
MGT 409,Managing Multi-Asset Class Investment Portfolios,1,Learning Activities:Lecture/Discussion 1 hour(s).Grade Mode:Letter.,MGT 202A;MGT 203A;MGT 205,Lecture/Discussion 1 hour(s),Letter,
MGT 410,Strategic Leadership,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 411,Strategic Change,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 412,International Marketing,1,Learning Activities:Lecture/Discussion 1 hour(s).Grade Mode:Letter.,,Lecture/Discussion 1 hour(s),Letter,
MGT 412V,International Marketing,1,"Learning Activities:Web Virtual Lecture 1 hour(s).Grade Mode:Letter.This course version is effective from, and including: Winter Quarter 2026.",,Web Virtual Lecture 1 hour(s),Letter,
MGT 414,Multi-Channel Marketing,1,Learning Activities:Lecture/Discussion 1 hour(s).Grade Mode:Letter.,,Lecture/Discussion 1 hour(s),Letter,
MGT 415V,Business Law,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Credit Limitation(s):Not available for credit for students who have takenMGT 215,MGP 215, orMGB 215.Grade Mode:Letter.",,Web Virtual Lecture 3 hour(s),Letter,
MGT 416,Topics in Private Equity and Mergers & Acquisitions,2,"Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.MGT 416— Topics in Private Equity and Mergers & Acquisitions (2 units)Course Description:Focuses on the finance principles related to the risk and return of the private equity (PE) industry, valuation of PE target companies, the structuring of leveraged buyouts (LBOs), and the management of portfolio companies.Prerequisite(s):MGB 405(can be concurrent) orMGP 405(can be concurrent) orMGT 405(can be concurrent) orMGB 405Y(can be concurrent) orMGP 405Y(can be concurrent).Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2025.",MGT 205 OR MGB 205 OR MGP 205,Lecture 2 hour(s),Letter,
MGT 416V,Topics in Private Equity and Mergers & Acquisitions,2,"Learning Activities:Web Virtual Lecture 2 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",MGB 405 OR MGP 405 OR MGT 405 OR MGB 405Y OR MGP 405Y,Web Virtual Lecture 2 hour(s),Letter,
MGT 417A,Collaborative Leadership,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 417B,Collaborative Leadership,1,Learning Activities:Lecture 1 hour(s).Grade Mode:S/U only.,MGB 417AorMGP 417AorMGT 417AorMGV 417A,Lecture 1 hour(s),S/U only,
MGT 419,Business Strategy Consulting Skills,1,Learning Activities:Lecture 5 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.,,Lecture 5 hour(s),Letter,
MGT 419V,Business Strategy Consulting Skills,1,"Learning Activities:Web Virtual Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Credit Limitation(s):Not open for credit for students who have takenMGT 419,MGP 419, orMGB 419.Grade Mode:Letter.",,Web Virtual Lecture 1 hour(s),Letter,
MGT 423,Leader as Coach: An Introduction to Coaching Skills for Leaders,1,Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 423V,Leader as Coach: An Introduction to Coaching Skills for Leaders,1,"Learning Activities:Web Virtual Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.This course version is effective from, and including: Winter Quarter 2026.MGT 423V— Power & Influence in Management (3 units)Course Description:Investigation of the bases of power in organizations and the tactics used to translate power into influence. Topics include the control of resources (including information), social psychological processes (including commitment), the construction of meaning, and ethics.Prerequisite(s):MGT 201AorMGP 201AorMGB 201A.Learning Activities:Web Virtual Lecture 3 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 223,MGP 223,MGB 223, orMGV 223V.Grade Mode:Letter.This course version is effective from, and including:  Fall Semester 2025.MGT 423V— Leader as Coach: An Introduction to Coaching Skills for Leaders (1 units)Course Description:Introduces the fundamental coaching skills and coaching models that leaders can apply in everyday interactions with their team and colleagues in order to build trust, overcome challenges and help others discover their own full potential.Learning Activities:Web Virtual Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Winter Quarter 2026.",,Web Virtual Lecture 1 hour(s),Letter,
MGT 426,The Business of Healthcare,1,"Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program (Business Administration-Working Professional, Business Administration-Bay Area, Business Administration-Full-Time).Grade Mode:Letter.",,Lecture 1 hour(s),Letter,
MGT 428,Negotiations in Organizations,4,"Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.MGT 428— Renewable Energy Ventures (1 units)Course Description:Advanced innovation lab will introduce students to issues addressed by entrepreneurs and investors in renewable ventures. Lectures, simulations, case studies and practical experience of the presenters will be delivered.Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Fall Semester 2025.MGT 428— Negotiations in Organizations	 (4 units)Course Description:Basic theory of negotiation; applies theory to process of building teams to achieve business purposes. Covers integrative and distributive strategies of claiming value, how to recognize bargaining tricks, uncovering hidden agendas, brainstorming to extend Pareto frontier.Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2025.",,Lecture 4 hour(s),Letter,
MGT 428V,Negotiations in Organizations,4,"Learning Activities:Web Virtual Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",,Web Virtual Lecture 4 hour(s),Letter,
MGT 429,Detection & Prevention of Asset Misappropriation Fraud in the Workplace,1,Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Restricted to students enrolled in the MBA program.Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 431,Project Management,1,Learning Activities:Lecture 10 hour(s).Enrollment Restriction(s):Open to students enrolled in the MBA program.Grade Mode:Letter.,,Lecture 10 hour(s),Letter,
MGT 432,Project Management with Applications in Healthcare,1,Learning Activities:Lecture 1 hour(s).Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 432V,Project Management with Applications in Healthcare,1,"Learning Activities:Web Virtual Lecture 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 432,MGP 432, orMGB 432.Grade Mode:Letter.",,Web Virtual Lecture 1 hour(s),Letter,
MGT 433,Corporate Social Responsibility,1,Learning Activities:Lecture 1 hour(s).Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 433V,Corporate Social Responsibility,1,Learning Activities:Web Virtual Lecture 1 hour(s).Grade Mode:Letter.,,Web Virtual Lecture 1 hour(s),Letter,
MGT 434V,Pricing,3,Learning Activities:Web Virtual Lecture 3 hour(s).Enrollment Restriction(s):Restricted to students in MBA program.Grade Mode:Letter.,MGT 404orMGP 404orMGB 404,Web Virtual Lecture 3 hour(s),Letter,
MGT 435,Data Wrangling,1,Learning Activities:Lecture 1 hour(s).Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 436,Introduction to Derivative Securities,1,Learning Activities:Lecture 1 hour(s).Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 436V,Introduction to Derivative Securities,1,Learning Activities:Web Virtual Lecture 1 hour(s).Grade Mode:Letter.,,Web Virtual Lecture 1 hour(s),Letter,
MGT 437,Healthcare Analytics,1,Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Open to students enrolled in the MBA program only.Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 437V,Healthcare Analytics,1,"Learning Activities:Web Virtual Lecture 1 hour(s).Credit Limitation(s):Not open to students who have takenMGT 437,MGP 437, orMGB 437.Grade Mode:Letter.",,Web Virtual Lecture 1 hour(s),Letter,
MGT 440,Integrated Management Project,6,"Learning Activities:Project 3 hour(s).Enrollment Restriction(s):Open to students in the MBA Program (SMBE, SMBB, SMBA).Grade Mode:Letter.",First-year core courses of MBA program,Project 3 hour(s),Letter,
MGT 440A,Integrated Management Project,6,Learning Activities:Lecture/Discussion 6 hour(s).Enrollment Restriction(s):Restricted to full-time (day) MBA students.Grade Mode:Letter.,First-year core courses of MBA program,Lecture/Discussion 6 hour(s),Letter,
MGT 440B,Integrated Management Project,3,Learning Activities:Project 3 hour(s).Enrollment Restriction(s):Restricted to full-time (day) MBA students.Grade Mode:Letter.,First-year core courses of MBA program,Project 3 hour(s),Letter,
MGT 440C,Integrated Management Project Team Lead,1,Learning Activities:Project 1 hour(s).Grade Mode:Letter.,,Project 1 hour(s),Letter,
MGT 440S,Integrated Management Simulation,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.,,Lecture 4 hour(s),Letter,
MGT 441V,New Product Development,3,Learning Activities:Web Virtual Lecture 3 hour(s).Grade Mode:Letter.,MGT 204orMGP 204orMGB 204,Web Virtual Lecture 3 hour(s),Letter,
MGT 443,Customer Analytics,3,"Learning Activities:Lecture 3 hour(s).Credit Limitation(s):No open for credit for students who have takenMGT 443V,MGP 443VorMGB 443V.Grade Mode:Letter.",,Lecture 3 hour(s),Letter,
MGT 443V,Customer Analytics,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Credit Limitation(s):No open for credit for students who have takenMGT 443,MGP 443orMGB 443.Grade Mode:Letter.",,Web Virtual Lecture 3 hour(s),Letter,
MGT 444,Strategic Branding,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 444V,Strategic Branding,3,Learning Activities:Web Virtual Lecture 3 hour(s).Grade Mode:Letter.,,Web Virtual Lecture 3 hour(s),Letter,
MGT 445,Product Management,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Not open to students who have takenMGB 445YorMGP 445YorMGT 445YorMGV 445V.Grade Mode:Letter.,MGT 404orMGP 404orMGB 404,Lecture 4 hour(s),Letter,
MGT 445Y,Product Management,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Lecture 2 hour(s).Credit Limitation(s):Not open for students who have takenMGV 445V.Grade Mode:Letter.",MGT 404orMGP 404orMGB 404,"Web Virtual Lecture 2 hour(s), Lecture 2 hour(s)",Letter,
MGT 448V,Marketing Strategies,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Repeat Credit:Not open for credit to students who have takenMGT 248,MGP 248,MGB 248, orMGV 248V.Grade Mode:Letter.",( MGT 202AorMGP 202AorMGB 202A ) ; ( MGT 204orMGP 204orMGB 204 ) ,Web Virtual Lecture 3 hour(s),Letter,
MGT 450,Technology Competition & Strategy,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.,( MGT 402AorMGP 402AorMGB 402A ) ; ( MGT 403AorMGP 403AorMGB 403A ) ,Lecture 4 hour(s),Letter,
MGT 450V,Technology Competition & Strategy,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.,( MGT 402AorMGP 402AorMGB 402A ) ; ( MGT 403AorMGP 403AorMGB 403A ) ,Lecture 4 hour(s),Letter,
MGT 450Y,Technology Competition & Strategy,4,"Learning Activities:Web Virtual Lecture 1 hour(s), Lecture 3 hour(s).Grade Mode:Letter.",( MGT 402AorMGP 402AorMGB 402A ) ; ( MGT 403AorMGP 403AorMGB 403A ) ,"Web Virtual Lecture 1 hour(s), Lecture 3 hour(s)",Letter,
MGT 451,Management of Innovation,3,"Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",MGT 401AorMGB 401AorMGP 401AorMGP 401AYorMGB 401AY,Lecture 3 hour(s),Letter,
MGT 452,Managing for Operational Excellence,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 252,MGP 252,MGB 252orMGV 252V.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 454,Careers in Product Management,1,Learning Activities:Lecture 1 hour(s).Grade Mode:Letter.,,Lecture 1 hour(s),Letter,
MGT 454A,Causal Inference and Statistical Experiments,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,MGT 403AorMGP 403AorMGB 403A,Lecture 2 hour(s),Letter,
MGT 454B,Marketing Analytics,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,MGT 454AorMGP 454AorMGB 454A,Lecture 2 hour(s),Letter,
MGT 456,Personal Branding,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 460A,Corporate Finance: Fundamentals,2,"Learning Activities:Lecture 2 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 260,MGP 260orMGB 260.Grade Mode:Letter.",MGT 205orMGP 205orMGB 205,Lecture 2 hour(s),Letter,
MGT 460B,Corporate Finance: Advanced Topics,2,"Learning Activities:Lecture 2 hour(s).Credit Limitation(s):Not open for students who have takenMGT 260,MGP 260orMGB 260.Grade Mode:Letter.",MGT 460AorMGB 460A;MGP 460A,Lecture 2 hour(s),Letter,
MGT 461,Portfolio Management,4,"Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.MGT 461— Practicum for Investment Analysis (1 units)Course Description:Provides practical experience applying concepts learned in Investment Analysis to a realistic portfolio management setting via a hypothetical exercise. Produce a realistic executive summary and presentation of an investment proposal for a hypothetical client.Prerequisite(s):MGT 261.Learning Activities:Project 1 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Fall Semester 2025.MGT 461— Portfolio Management (4 units)Course Description:Examines asset pricing theories and relevant evidence, including the investment performance of stocks and bonds. Topics include the efficiency of markets, domestic and international portfolio diversification, factors influencing the value of stocks and other investments, and portfolio management and performance.Prerequisite(s):(MGT 403AorMGB 403AorMGP 403AorMGP 403AYorMGB 403AY); (MGT 405orMGB 405orMGP 405orMGB 405YorMGP 405Y).Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2025.",( MGT 403AorMGB 403AorMGP 403AorMGP 403AYorMGB 403AY ) ; ( MGT 405orMGB 405orMGP 405orMGB 405YorMGP 405Y ) ,Lecture 4 hour(s),Letter,
MGT 461V,Portfolio Management,4,"Learning Activities:Web Virtual Lecture 4 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",( MGT 403AorMGB 403AorMGP 403AorMGP 403AYorMGB 403AY ) ; ( MGT 405orMGB 405orMGP 405orMGB 405YorMGP 405Y ) ,Web Virtual Lecture 4 hour(s),Letter,
MGT 465,Technology Finance & Valuation,4,"Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.This course version is effective from, and including: Winter Quarter 2026.MGT 465— Practicum for Venture Capital (1 units)Course Description:Provides an opportunity to apply concepts learned in Venture Capital in a realistic setting. Complete project analyzing a potential investment in a hypothetical venture and prepare an deal term sheet/investment agreement.Prerequisite(s):MGT 265.Learning Activities:Project 1 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Fall Semester 2025.MGT 465— Technology Finance & Valuation (4 units)Course Description:Venture capital finance and the related practice of research and development finance. Application of finance tools and framework to the world of venture capital and financing of projects in high-growth industries.Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.This course version is effective from, and including:  Winter Quarter 2026.",,Lecture 4 hour(s),Letter,
MGT 466,Leading Teams,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 467V,Teams & Technology,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 267,MGP 267,MGB 267, orMGV 267V.Grade Mode:Letter.",,Web Virtual Lecture 3 hour(s),Letter,
MGT 468,Articulation & Critical Thinking,4,"Learning Activities:Lecture 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenMGT 268,MGP 268,MGB 268orMGV 268V.Grade Mode:Letter.",,Lecture 4 hour(s),Letter,
MGT 468A,Articulation & Critical Thinking,2,"Learning Activities:Web Virtual Lecture 2 hour(s).Credit Limitation(s):Not open for credit for students who have takenMGT 468.Grade Mode:Letter.This course version is effective from, and including: Winter Quarter 2026.",,Web Virtual Lecture 2 hour(s),Letter,
MGT 468B,Articulation & Critical Thinking,2,"Learning Activities:Web Virtual Lecture 2 hour(s).Credit Limitation(s):Not open for credit for students who have takenMGT 468.Grade Mode:Letter.This course version is effective from, and including: Winter Quarter 2026.",,Web Virtual Lecture 2 hour(s),Letter,
MGT 469,Machine Learning with Python,4,"Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to students in MBA program; exemptions may be granted upon request from students enrolled in the online MBA program.Credit Limitation(s):No credit to students who have takenMGV 469V, MGB 269, MGP 269, MGT 269.Grade Mode:Letter. Letter.",,Lecture 4 hour(s),Letter,
MGT 472,Financial Statement Analysis,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,MGT 400AorMGP 400AorMGB 400A,Lecture 2 hour(s),Letter,
MGT 472V,Financial Statement Analysis,2,Learning Activities:Web Virtual Lecture 2 hour(s).Grade Mode:Letter.,MGT 400AorMGP 400AorMGB 400A,Web Virtual Lecture 2 hour(s),Letter,
MGT 473,Managerial Cost Accounting,2,Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Open to students enrolled in the full-time or part-time MBA program.Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 474,Managerial Budgeting,2,Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Open to students enrolled in the full-time or part-time MBA program.Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 474V,Managerial Budgeting,2,Learning Activities:Web Virtual Lecture 2 hour(s).Enrollment Restriction(s):Open to students enrolled in the full-time or part-time MBA program.Grade Mode:Letter.,,Web Virtual Lecture 2 hour(s),Letter,
MGT 478,Introduction to Financial Technology,2,Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 478V,Introduction to Financial Technology,2,Learning Activities:Web Virtual Lecture 2 hour(s).Grade Mode:Letter.,,Web Virtual Lecture 2 hour(s),Letter,
MGT 480,Professional English for Multilingual Business Students,2,Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Restricted to Graduate School of Management professional students.Grade Mode:S/U only.,,Lecture 2 hour(s),S/U only,
MGT 480V,Professional English for Multilingual Business Students,2,Learning Activities:Web Virtual Lecture 2 hour(s).Enrollment Restriction(s):Restricted to Graduate School of Management professional students.Grade Mode:S/U only.,,Web Virtual Lecture 2 hour(s),S/U only,
MGT 487,Database Management with SQL,3,"Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",,Lecture 3 hour(s),Letter,
MGT 487V,Database Management with SQL,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Grade Mode:Letter.This course version is effective from, and including: Fall Quarter 2025.",,Web Virtual Lecture 3 hour(s),Letter,
MGT 490,Topics in Business,1,"Learning Activities:Lecture/Discussion 1 hour(s).Enrollment Restriction(s):Open to students in the MBA Program (SMBA, SMBB, SMBE).Repeat Credit:May be repeated.Grade Mode:Letter.",Consent of instructor. Sponsorship of a GSM Academic Senate faculty member; approval of graduate advisor,Lecture/Discussion 1 hour(s),Letter,
MGT 490A,Topics in Management,2,Learning Activities:Lecture 2 hour(s).Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,,Lecture 2 hour(s),Satisfactory/Unsatisfactory only,
MGT 490B,Topics in General Management-Extended,2,Learning Activities:Lecture 2 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,,Lecture 2 hour(s),Letter,
MGT 490BV,Topics in Management,2,Learning Activities:Web Virtual Lecture 2 hour(s).Repeat Credit:May be repeated for credit.Grade Mode:Letter.,,Web Virtual Lecture 2 hour(s),Letter,
MGT 490V,Topics in General Management,3,Learning Activities:Web Virtual Lecture 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,,Web Virtual Lecture 3 hour(s),Letter,
MGT 491V,Advanced Topics in Management,1,Learning Activities:Web Virtual Lecture 1 hour(s).Enrollment Restriction(s):Open to students enrolled in the full-time or part-time MBA program.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.,,Web Virtual Lecture 1 hour(s),Letter,
MGT 492V,Topics in Finance,2,Learning Activities:Web Virtual Lecture 2 hour(s).Repeat Credit:May be repeated for credit when the topic differs; students can take this course repeatedly.Grade Mode:Letter.,,Web Virtual Lecture 2 hour(s),Letter,
MGT 493V,Topics in Marketing,3,Learning Activities:Web Virtual Lecture 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,,Web Virtual Lecture 3 hour(s),Letter,
MGT 497,Topics in International Management,2,"Learning Activities:Lecture 2 hour(s).Grade Mode:S/U only.This course version is effective from, and including: Fall Quarter 2025.",,Lecture 2 hour(s),S/U only,
MGT 498,Directed Group Study Management Practicum,1,Learning Activities:Project.Repeat Credit:May be repeated 6 unit(s).Grade Mode:Satisfactory/Unsatisfactory only.,"Consent of instructor. Sponsorship of a GSM Academic Senate faculty member, and approval of graduate advisor",Project,Satisfactory/Unsatisfactory only,
MGT 499,Directed Individual Study Management Practicum,1,Learning Activities:Project.Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor. Sponsorship of a Graduate School of Management Academic Senate faculty member and approval of graduate advisor,Project,Satisfactory/Unsatisfactory only,
