Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MGT 140,Marketing for the Technology-Based Enterprise,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 140— Introduction to Marketing & Data Analytics (4 units)Course Description:Strategic analysis and solutions to marketing decision problems. Enduring concepts and emerging issues of marketing; analytics tools to address modern marketing challenges.Prerequisite(s):(ECN 001AC- or better orECN 001AYC- or better orECN 001AVC- or better); (STA 013C- or better orSTA 013YC- or better orSTA 032C- or better).Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.General Education:Social Sciences (SS); Visual Literacy (VL).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 141,Marketing Analytics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 140 or better;MGT 120 or better;STA 103 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 143,Customer Analytics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 120 or better;MGT 140 or better;STA 103 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 145,Managing Business Databases,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 120 or better;MGT 140 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 150,Technology Management,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 150— Introduction to Management (4 units)Course Description:Management of firms in a variety of industries, including high technology industries such as software development and biotechnology. Motivating and managing workers, organizing for innovation, and making decisions. Enable the development of skills to analyze and address management challenges and opportunities.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 151,Management of Innovation & Entrepreneurship,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 151— Management of Innovation & Entrepreneurship (4 units)Course Description:Innovation and entrepreneurship in established companies or new ventures. Knowledge, skills, and hands-on experiences in creative problem-solving, decision-making, building new ventures, and innovation strategy.Prerequisite(s):MGT 150C- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restrictions:Pass One restricted to business majors.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 153,Negotiations,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 150 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 155,Teams & Leadership,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 150 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 159,Strategic Management,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 150 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 160,Financing New Business Ventures,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 160— Introduction to Corporate Finance (4 units)Course Description:Fundamental principles of corporate financial management. Estimating free cash flow, financial decision-making, discount rates, time value of money, investment decision rules, and capital structure.Prerequisite(s):(MGT 011AC- or better orMGT 011AVC- or better orMGT 011AYC- or better orMGT 011BC- or better); (ECN 001AC- or better orECN 001AYC- or better orECN 001AVC- or better); (ECN 001BC- or better orECN 001BVC- or better);STA 103C- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",( MGT 011AorMGT 011AVorMGT 011AY ) ; ( STA 013orSTA 013Y ) ,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
